dats	tims	lons	lats	shear	mes		
06/01/2000	12:00	-68,061	35,061	c	1		
06/01/2000	12:00	-138	30,496	a	1		
06/01/2000	12:00	-162	43,951	c	1		
06/01/2000	18:00	51,799	30,799	c	1		
06/01/2000	18:00	-17,059	23,941	a	1		
06/01/2000	18:00	-135,543	29,457	a	1		
07/01/2000	0:00	-16,505	24,505	a	1		
07/01/2000	0:00	-134,375	27,625	a	1		
07/01/2000	6:00	82,644	26,644	a	1		
07/01/2000	6:00	-10	24,752	a	1		
07/01/2000	6:00	-132	26,466	a	1		
07/01/2000	12:00	87,559	25,559	a	1		
07/01/2000	12:00	-17	25,464	a	1		
07/01/2000	12:00	-132	24,52	a	1		
07/01/2000	18:00	92,141	25	a	1		
07/01/2000	18:00	-18	25,235	a	1		
07/01/2000	18:00	-54,905	28,095	a	1		
07/01/2000	18:00	-130	23,252	a	1		
08/01/2000	0:00	-18	24,179	a	1		
08/01/2000	0:00	-54	26,248	a	1		
08/01/2000	0:00	-129,632	22,368	a	1		
08/01/2000	6:00	-16	23,321	a	1		
08/01/2000	6:00	-54	22,934	a	1		
08/01/2000	6:00	-128	20,915	a	1		
08/01/2000	12:00	-13	23,465	a	1		
08/01/2000	12:00	-54	20,901	c	1		
08/01/2000	12:00	-125	20,339	a	1		
08/01/2000	12:00	-177	29,827	c	1		
08/01/2000	18:00	-9,609	24,609	a	1		
08/01/2000	18:00	-53,986	18,986	c	1		
08/01/2000	18:00	-124	20,183	a	1		
09/01/2000	0:00	171,083	21	a	1		
09/01/2000	0:00	-53,691	17,309	c	1		
09/01/2000	0:00	-124,049	19,951	a	1		
09/01/2000	6:00	87,343	26,657	a	1		
09/01/2000	6:00	-47	20,445	c	1		
09/01/2000	6:00	-121	19,79	a	1		
09/01/2000	12:00	95,332	25,668	a	1		
09/01/2000	12:00	-44,666	20,666	a	1		
09/01/2000	12:00	-65	34,762	a	1		
09/01/2000	12:00	-116,477	21,523	a	1		
09/01/2000	12:00	-139	44,675	c	1		
09/01/2000	18:00	88	26,488	a	1		
09/01/2000	18:00	-17,02	25,02	c	1		
09/01/2000	18:00	-39	22,778	a	1		
09/01/2000	18:00	-112,147	23,147	a	1		
10/01/2000	0:00	94	26,476	a	1		
10/01/2000	0:00	-3,966	21,966	a	1		
10/01/2000	0:00	-40	26,77	c	1		
10/01/2000	0:00	-107,765	25,235	a	1		
10/01/2000	0:00	-172,243	35	c	1		
10/01/2000	6:00	5,641	23,641	c	1		
10/01/2000	6:00	-35,017	27	c	1		
10/01/2000	6:00	-60,401	31	a	1		
10/01/2000	6:00	-98,224	28,776	a	1		
10/01/2000	6:00	-153	38,8	c	1		
10/01/2000	12:00	11,161	25,839	c	1		
10/01/2000	12:00	-37,45	25	c	1		
10/01/2000	12:00	-145,04	39	c	1		
10/01/2000	18:00	163	24,908	a	1		
10/01/2000	18:00	-132	40,945	c	1		
11/01/2000	0:00	170,219	21,219	a	1		
11/01/2000	0:00	-53,488	23	a	1		
